SERIES,TIME,VALUE
heavy_pages_ap-southeast-1,21-06-2023T06:00,1627.0520000000001
heavy_pages_ap-southeast-1,21-06-2023T12:00,1840.578
heavy_pages_ap-southeast-1,21-06-2023T18:00,1480.979
heavy_pages_ap-southeast-1,22-06-2023T12:00,1594.5639999999999
heavy_pages_ap-southeast-1,22-06-2023T06:00,1330.961
heavy_pages_ap-southeast-1,22-06-2023T18:00,1310.2849999999999
heavy_pages_eu-west-1,21-06-2023T06:00,1894.2359999999999
heavy_pages_eu-west-1,21-06-2023T12:00,1324.2759999999998
heavy_pages_eu-west-1,21-06-2023T18:00,1367.299
heavy_pages_eu-west-1,22-06-2023T12:00,1344.347
heavy_pages_eu-west-1,22-06-2023T06:00,1326.943
heavy_pages_eu-west-1,22-06-2023T18:00,1339.9270000000001
heavy_pages_us-east-1,20-06-2023T18:00,1403.8899999999999
heavy_pages_us-east-1,21-06-2023T06:00,1438.3220000000001
heavy_pages_us-east-1,21-06-2023T12:00,1412.663
heavy_pages_us-east-1,21-06-2023T18:00,1434.051
heavy_pages_us-east-1,22-06-2023T12:00,1425.282
heavy_pages_us-east-1,22-06-2023T06:00,1313.616
heavy_pages_us-east-1,22-06-2023T18:00,1304.711
heavy_vercel_ap-southeast-1,21-06-2023T06:00,1978.03
heavy_vercel_ap-southeast-1,21-06-2023T12:00,1713.096
heavy_vercel_ap-southeast-1,21-06-2023T18:00,1426.249
heavy_vercel_ap-southeast-1,22-06-2023T12:00,1432.353
heavy_vercel_ap-southeast-1,22-06-2023T06:00,1426.243
heavy_vercel_ap-southeast-1,22-06-2023T18:00,1796.764
heavy_vercel_eu-west-1,21-06-2023T06:00,1814.079
heavy_vercel_eu-west-1,21-06-2023T12:00,1452.3
heavy_vercel_eu-west-1,21-06-2023T18:00,1452.277
heavy_vercel_eu-west-1,22-06-2023T12:00,2036.7800000000002
heavy_vercel_eu-west-1,22-06-2023T06:00,2027.373
heavy_vercel_eu-west-1,22-06-2023T18:00,1473.941
heavy_vercel_us-east-1,20-06-2023T18:00,1591.277
heavy_vercel_us-east-1,21-06-2023T06:00,2184.556
heavy_vercel_us-east-1,21-06-2023T12:00,1447.538
heavy_vercel_us-east-1,21-06-2023T18:00,1444.2820000000002
heavy_vercel_us-east-1,22-06-2023T12:00,1452.911
heavy_vercel_us-east-1,22-06-2023T06:00,1835.8719999999998
heavy_vercel_us-east-1,22-06-2023T18:00,1281.434
simple_pages_ap-southeast-1,21-06-2023T06:00,2094.43
simple_pages_ap-southeast-1,21-06-2023T12:00,2150.809
simple_pages_ap-southeast-1,21-06-2023T18:00,1558.621
simple_pages_ap-southeast-1,22-06-2023T12:00,1277.149
simple_pages_ap-southeast-1,22-06-2023T06:00,1276.499
simple_pages_ap-southeast-1,22-06-2023T18:00,1288.143
simple_pages_eu-west-1,21-06-2023T06:00,1484.237
simple_pages_eu-west-1,21-06-2023T12:00,1313.179
simple_pages_eu-west-1,21-06-2023T18:00,1310.347
simple_pages_eu-west-1,22-06-2023T12:00,1317.155
simple_pages_eu-west-1,22-06-2023T06:00,1302.6779999999999
simple_pages_eu-west-1,22-06-2023T18:00,1320.565
simple_pages_us-east-1,20-06-2023T18:00,1400.512
simple_pages_us-east-1,21-06-2023T06:00,1469.117
simple_pages_us-east-1,21-06-2023T12:00,1303.336
simple_pages_us-east-1,21-06-2023T18:00,1426.286
simple_pages_us-east-1,22-06-2023T12:00,1387.719
simple_pages_us-east-1,22-06-2023T06:00,1296.743
simple_pages_us-east-1,22-06-2023T18:00,1322.179
simple_vercel_ap-southeast-1,21-06-2023T06:00,1788.609
simple_vercel_ap-southeast-1,21-06-2023T12:00,1261.874
simple_vercel_ap-southeast-1,21-06-2023T18:00,1253.7820000000002
simple_vercel_ap-southeast-1,22-06-2023T12:00,1259.435
simple_vercel_ap-southeast-1,22-06-2023T06:00,1261.52
simple_vercel_ap-southeast-1,22-06-2023T18:00,1753.342
simple_vercel_eu-west-1,21-06-2023T06:00,1449.98
simple_vercel_eu-west-1,21-06-2023T12:00,1272.682
simple_vercel_eu-west-1,21-06-2023T18:00,1285.97
simple_vercel_eu-west-1,22-06-2023T12:00,1289.875
simple_vercel_eu-west-1,22-06-2023T06:00,1276.463
simple_vercel_eu-west-1,22-06-2023T18:00,1491.315
simple_vercel_us-east-1,20-06-2023T18:00,1399.7060000000001
simple_vercel_us-east-1,21-06-2023T06:00,1507.3339999999998
simple_vercel_us-east-1,21-06-2023T12:00,1292.2179999999998
simple_vercel_us-east-1,21-06-2023T18:00,1293.577
simple_vercel_us-east-1,22-06-2023T12:00,1277.257
simple_vercel_us-east-1,22-06-2023T06:00,1280.067
simple_vercel_us-east-1,22-06-2023T18:00,1263.693
heavy_vercel_ap-southeast-1,15-06-2023T06:00,1931.5405551658655
heavy_vercel_ap-southeast-1,15-06-2023T12:00,1751.2481398618415
heavy_vercel_ap-southeast-1,15-06-2023T18:00,1267.925809314307
heavy_vercel_ap-southeast-1,15-06-2023T24:00,2051.3375104097213
heavy_vercel_us-east-1,15-06-2023T06:00,1629.0953752571083
heavy_vercel_us-east-1,15-06-2023T12:00,1539.440774033284
heavy_vercel_us-east-1,15-06-2023T18:00,2156.777918307502
heavy_vercel_us-east-1,15-06-2023T24:00,1390.3934286355711
heavy_vercel_eu-west-1,15-06-2023T06:00,1335.9278139099724
heavy_vercel_eu-west-1,15-06-2023T12:00,2026.4540469952221
heavy_vercel_eu-west-1,15-06-2023T18:00,1504.43160381166
heavy_vercel_eu-west-1,15-06-2023T24:00,1381.3214948100301
heavy_pages_ap-southeast-1,15-06-2023T06:00,1443.4642007914001
heavy_pages_ap-southeast-1,15-06-2023T12:00,1349.7589538796335
heavy_pages_ap-southeast-1,15-06-2023T18:00,2112.0724859561637
heavy_pages_ap-southeast-1,15-06-2023T24:00,2031.7919879176022
heavy_pages_us-east-1,15-06-2023T06:00,1360.864307931244
heavy_pages_us-east-1,15-06-2023T12:00,1767.2904861109057
heavy_pages_us-east-1,15-06-2023T18:00,1265.0071303463642
heavy_pages_us-east-1,15-06-2023T24:00,1788.1457067689698
heavy_pages_eu-west-1,15-06-2023T06:00,2162.805608068068
heavy_pages_eu-west-1,15-06-2023T12:00,2070.383398758002
heavy_pages_eu-west-1,15-06-2023T18:00,1718.017644036359
heavy_pages_eu-west-1,15-06-2023T24:00,1652.3784838550584
simple_vercel_ap-southeast-1,15-06-2023T06:00,1877.7475827357173
simple_vercel_ap-southeast-1,15-06-2023T12:00,2107.776169707957
simple_vercel_ap-southeast-1,15-06-2023T18:00,1888.7004954549216
simple_vercel_ap-southeast-1,15-06-2023T24:00,1342.8526972930529
simple_vercel_us-east-1,15-06-2023T06:00,1351.9002690974005
simple_vercel_us-east-1,15-06-2023T12:00,2163.4027281961926
simple_vercel_us-east-1,15-06-2023T18:00,1443.910636247496
simple_vercel_us-east-1,15-06-2023T24:00,1633.0342235184153
simple_vercel_eu-west-1,15-06-2023T06:00,1807.8471768993559
simple_vercel_eu-west-1,15-06-2023T12:00,1384.7481911883651
simple_vercel_eu-west-1,15-06-2023T18:00,1491.53890621021
simple_vercel_eu-west-1,15-06-2023T24:00,1380.6470519809286
simple_pages_ap-southeast-1,15-06-2023T06:00,2007.8661876186784
simple_pages_ap-southeast-1,15-06-2023T12:00,1807.698016772367
simple_pages_ap-southeast-1,15-06-2023T18:00,1837.7276723266277
simple_pages_ap-southeast-1,15-06-2023T24:00,2074.843901397002
simple_pages_us-east-1,15-06-2023T06:00,2064.9039123760945
simple_pages_us-east-1,15-06-2023T12:00,1651.2137002649367
simple_pages_us-east-1,15-06-2023T18:00,1442.9145421819492
simple_pages_us-east-1,15-06-2023T24:00,1286.2287199564712
simple_pages_eu-west-1,15-06-2023T06:00,1860.8187628029955
simple_pages_eu-west-1,15-06-2023T12:00,1656.5528830702647
simple_pages_eu-west-1,15-06-2023T18:00,1659.5282925719569
simple_pages_eu-west-1,15-06-2023T24:00,2144.1643525954446
heavy_vercel_ap-southeast-1,16-06-2023T06:00,2126.0751029855787
heavy_vercel_ap-southeast-1,16-06-2023T12:00,1444.006986188214
heavy_vercel_ap-southeast-1,16-06-2023T18:00,1798.3120439715935
heavy_vercel_ap-southeast-1,16-06-2023T24:00,1411.55734547374
heavy_vercel_us-east-1,16-06-2023T06:00,1438.597766345177
heavy_vercel_us-east-1,16-06-2023T12:00,1759.9496104234904
heavy_vercel_us-east-1,16-06-2023T18:00,2172.900117823125
heavy_vercel_us-east-1,16-06-2023T24:00,1877.217445778815
heavy_vercel_eu-west-1,16-06-2023T06:00,1664.3029345935906
heavy_vercel_eu-west-1,16-06-2023T12:00,2164.278861840772
