SERIES,TIME,VALUE
heavy_pages_ap-southeast-1,21-06-2023T06:00,6286.914889636598
heavy_pages_ap-southeast-1,21-06-2023T12:00,4350.223370418
heavy_pages_ap-southeast-1,21-06-2023T18:00,4075.9796937870087
heavy_pages_ap-southeast-1,22-06-2023T12:00,4070.653131374185
heavy_pages_ap-southeast-1,22-06-2023T06:00,3215.9142400393634
heavy_pages_ap-southeast-1,22-06-2023T18:00,23342.9438838499
heavy_pages_eu-west-1,21-06-2023T06:00,28941.857779486723
heavy_pages_eu-west-1,21-06-2023T12:00,24510.372709031653
heavy_pages_eu-west-1,21-06-2023T18:00,32127.10448025863
heavy_pages_eu-west-1,22-06-2023T12:00,1791.730826456731
heavy_pages_eu-west-1,22-06-2023T06:00,1746.9100194065745
heavy_pages_eu-west-1,22-06-2023T18:00,1680.5957466164791
heavy_pages_us-east-1,20-06-2023T18:00,32079.13937278662
heavy_pages_us-east-1,21-06-2023T06:00,12821.675045112253
heavy_pages_us-east-1,21-06-2023T12:00,22147.888862805296
heavy_pages_us-east-1,21-06-2023T18:00,36694.4393486166
heavy_pages_us-east-1,22-06-2023T12:00,16138.174204684514
heavy_pages_us-east-1,22-06-2023T06:00,22676.610040100568
heavy_pages_us-east-1,22-06-2023T18:00,1304.711
heavy_vercel_ap-southeast-1,21-06-2023T06:00,18414.194922715065
heavy_vercel_ap-southeast-1,21-06-2023T12:00,1917.6865432907116
heavy_vercel_ap-southeast-1,21-06-2023T18:00,1537.6750621615888
heavy_vercel_ap-southeast-1,22-06-2023T12:00,28639.124482356092
heavy_vercel_ap-southeast-1,22-06-2023T06:00,24662.240886460866
heavy_vercel_ap-southeast-1,22-06-2023T18:00,23102.86738842093
heavy_vercel_eu-west-1,21-06-2023T06:00,26899.32205207593
heavy_vercel_eu-west-1,21-06-2023T12:00,27177.141104158494
heavy_vercel_eu-west-1,21-06-2023T18:00,13712.650810364647
heavy_vercel_eu-west-1,22-06-2023T12:00,2345.6888029809943
heavy_vercel_eu-west-1,22-06-2023T06:00,26494.129584656665
heavy_vercel_eu-west-1,22-06-2023T18:00,37788.7687951977
heavy_vercel_us-east-1,20-06-2023T18:00,29221.206768166667
heavy_vercel_us-east-1,21-06-2023T06:00,29325.90946190546
heavy_vercel_us-east-1,21-06-2023T12:00,19230.98180454552
heavy_vercel_us-east-1,21-06-2023T18:00,15419.307089914331
heavy_vercel_us-east-1,22-06-2023T12:00,2533.831162251182
heavy_vercel_us-east-1,22-06-2023T06:00,2183.8847578909053
heavy_vercel_us-east-1,22-06-2023T18:00,26991.070906974244
simple_pages_ap-southeast-1,21-06-2023T06:00,3116.534035999998
