x,y,value
heavy_pages_ap-southeast-1,21-06-2023T06:00,1627.0520000000001
heavy_pages_ap-southeast-1,21-06-2023T12:00,1840.578
heavy_pages_ap-southeast-1,21-06-2023T18:00,1480.979
heavy_pages_ap-southeast-1,22-06-2023T12:00,1594.5639999999999
heavy_pages_ap-southeast-1,22-06-2023T06:00,1330.961
heavy_pages_ap-southeast-1,22-06-2023T18:00,1310.2849999999999
heavy_pages_eu-west-1,21-06-2023T06:00,1894.2359999999999
heavy_pages_eu-west-1,21-06-2023T12:00,1324.2759999999998
heavy_pages_eu-west-1,21-06-2023T18:00,1367.299
heavy_pages_eu-west-1,22-06-2023T12:00,1344.347
heavy_pages_eu-west-1,22-06-2023T06:00,1326.943
heavy_pages_eu-west-1,22-06-2023T18:00,1339.9270000000001
heavy_pages_us-east-1,20-06-2023T18:00,1403.8899999999999
heavy_pages_us-east-1,21-06-2023T06:00,1438.3220000000001
heavy_pages_us-east-1,21-06-2023T12:00,1412.663
heavy_pages_us-east-1,21-06-2023T18:00,1434.051
heavy_pages_us-east-1,22-06-2023T12:00,1425.282
heavy_pages_us-east-1,22-06-2023T06:00,1313.616
heavy_pages_us-east-1,22-06-2023T18:00,1304.711
heavy_vercel_ap-southeast-1,21-06-2023T06:00,1978.03
heavy_vercel_ap-southeast-1,21-06-2023T12:00,1713.096
heavy_vercel_ap-southeast-1,21-06-2023T18:00,1426.249
heavy_vercel_ap-southeast-1,22-06-2023T12:00,1432.353
heavy_vercel_ap-southeast-1,22-06-2023T06:00,1426.243
heavy_vercel_ap-southeast-1,22-06-2023T18:00,1796.764
heavy_vercel_eu-west-1,21-06-2023T06:00,1814.079
heavy_vercel_eu-west-1,21-06-2023T12:00,1452.3
heavy_vercel_eu-west-1,21-06-2023T18:00,1452.277
heavy_vercel_eu-west-1,22-06-2023T12:00,2036.7800000000002
heavy_vercel_eu-west-1,22-06-2023T06:00,2027.373
heavy_vercel_eu-west-1,22-06-2023T18:00,1473.941
heavy_vercel_us-east-1,20-06-2023T18:00,1591.277
heavy_vercel_us-east-1,21-06-2023T06:00,2184.556
heavy_vercel_us-east-1,21-06-2023T12:00,1447.538
heavy_vercel_us-east-1,21-06-2023T18:00,1444.2820000000002
heavy_vercel_us-east-1,22-06-2023T12:00,1452.911
heavy_vercel_us-east-1,22-06-2023T06:00,1835.8719999999998
heavy_vercel_us-east-1,22-06-2023T18:00,1281.434
simple_pages_ap-southeast-1,21-06-2023T06:00,2094.43
simple_pages_ap-southeast-1,21-06-2023T12:00,2150.809
simple_pages_ap-southeast-1,21-06-2023T18:00,1558.621
simple_pages_ap-southeast-1,22-06-2023T12:00,1277.149
simple_pages_ap-southeast-1,22-06-2023T06:00,1276.499
simple_pages_ap-southeast-1,22-06-2023T18:00,1288.143
simple_pages_eu-west-1,21-06-2023T06:00,1484.237
simple_pages_eu-west-1,21-06-2023T12:00,1313.179
simple_pages_eu-west-1,21-06-2023T18:00,1310.347
simple_pages_eu-west-1,22-06-2023T12:00,1317.155
simple_pages_eu-west-1,22-06-2023T06:00,1302.6779999999999
simple_pages_eu-west-1,22-06-2023T18:00,1320.565
simple_pages_us-east-1,20-06-2023T18:00,1400.512
simple_pages_us-east-1,21-06-2023T06:00,1469.117
simple_pages_us-east-1,21-06-2023T12:00,1303.336
simple_pages_us-east-1,21-06-2023T18:00,1426.286
simple_pages_us-east-1,22-06-2023T12:00,1387.719
simple_pages_us-east-1,22-06-2023T06:00,1296.743
simple_pages_us-east-1,22-06-2023T18:00,1322.179
simple_vercel_ap-southeast-1,21-06-2023T06:00,1788.609
simple_vercel_ap-southeast-1,21-06-2023T12:00,1261.874
simple_vercel_ap-southeast-1,21-06-2023T18:00,1253.7820000000002
simple_vercel_ap-southeast-1,22-06-2023T12:00,1259.435
simple_vercel_ap-southeast-1,22-06-2023T06:00,1261.52
simple_vercel_ap-southeast-1,22-06-2023T18:00,1753.342
simple_vercel_eu-west-1,21-06-2023T06:00,1449.98
simple_vercel_eu-west-1,21-06-2023T12:00,1272.682
simple_vercel_eu-west-1,21-06-2023T18:00,1285.97
simple_vercel_eu-west-1,22-06-2023T12:00,1289.875
simple_vercel_eu-west-1,22-06-2023T06:00,1276.463
simple_vercel_eu-west-1,22-06-2023T18:00,1491.315
simple_vercel_us-east-1,20-06-2023T18:00,1399.7060000000001
simple_vercel_us-east-1,21-06-2023T06:00,1507.3339999999998
simple_vercel_us-east-1,21-06-2023T12:00,1292.2179999999998
simple_vercel_us-east-1,21-06-2023T18:00,1293.577
simple_vercel_us-east-1,22-06-2023T12:00,1277.257
simple_vercel_us-east-1,22-06-2023T06:00,1280.067
simple_vercel_us-east-1,22-06-2023T18:00,1263.693
heavy_vercel_ap-southeast-1,15-06-2023T06:00,2126.4487316461245
heavy_vercel_ap-southeast-1,15-06-2023T12:00,1398.3780402675818
heavy_vercel_ap-southeast-1,15-06-2023T18:00,1620.0044487051284
heavy_vercel_ap-southeast-1,15-06-2023T24:00,2070.7910663073562
heavy_vercel_us-east-1,15-06-2023T06:00,1951.0722908105222
heavy_vercel_us-east-1,15-06-2023T12:00,2105.429490233979
heavy_vercel_us-east-1,15-06-2023T18:00,1374.6019173861966
heavy_vercel_us-east-1,15-06-2023T24:00,2154.1108933715036
heavy_vercel_eu-west-1,15-06-2023T06:00,1402.2689708503415
heavy_vercel_eu-west-1,15-06-2023T12:00,1823.2274129088746
heavy_vercel_eu-west-1,15-06-2023T18:00,1472.348636613081
heavy_vercel_eu-west-1,15-06-2023T24:00,1382.6076867139186
heavy_pages_ap-southeast-1,15-06-2023T06:00,1302.9556684687475
heavy_pages_ap-southeast-1,15-06-2023T12:00,1532.8282344641827
heavy_pages_ap-southeast-1,15-06-2023T18:00,1611.600399116841
heavy_pages_ap-southeast-1,15-06-2023T24:00,1861.5035818232486
heavy_pages_us-east-1,15-06-2023T06:00,2032.3424381440818
heavy_pages_us-east-1,15-06-2023T12:00,1824.6440726100823
heavy_pages_us-east-1,15-06-2023T18:00,2012.8650108368638
heavy_pages_us-east-1,15-06-2023T24:00,2035.537833822647
heavy_pages_eu-west-1,15-06-2023T06:00,2176.601385779234
heavy_pages_eu-west-1,15-06-2023T12:00,2141.5539704884877
heavy_pages_eu-west-1,15-06-2023T18:00,1794.7181838318843
heavy_pages_eu-west-1,15-06-2023T24:00,2026.2706131690911
simple_vercel_ap-southeast-1,15-06-2023T06:00,2074.3020745652375
simple_vercel_ap-southeast-1,15-06-2023T12:00,1304.3611757532567
simple_vercel_ap-southeast-1,15-06-2023T18:00,1497.7692138600069
simple_vercel_ap-southeast-1,15-06-2023T24:00,2181.9516965053876
simple_vercel_us-east-1,15-06-2023T06:00,1677.8344213860896
simple_vercel_us-east-1,15-06-2023T12:00,2012.9493100175064
simple_vercel_us-east-1,15-06-2023T18:00,1876.6396041467478
simple_vercel_us-east-1,15-06-2023T24:00,1494.585587285856
simple_vercel_eu-west-1,15-06-2023T06:00,2126.565382065352
simple_vercel_eu-west-1,15-06-2023T12:00,1981.5843577612084
simple_vercel_eu-west-1,15-06-2023T18:00,2099.902738532285
simple_vercel_eu-west-1,15-06-2023T24:00,1445.3999274071416
simple_pages_ap-southeast-1,15-06-2023T06:00,1442.7166408235516
simple_pages_ap-southeast-1,15-06-2023T12:00,1624.25128929436
simple_pages_ap-southeast-1,15-06-2023T18:00,1512.3235846755667
simple_pages_ap-southeast-1,15-06-2023T24:00,1366.793523159548
simple_pages_us-east-1,15-06-2023T06:00,1318.1219480382877
simple_pages_us-east-1,15-06-2023T12:00,1885.1593834025691
simple_pages_us-east-1,15-06-2023T18:00,1696.724500604286
simple_pages_us-east-1,15-06-2023T24:00,1307.7477619252447
simple_pages_eu-west-1,15-06-2023T06:00,1310.00314042167
simple_pages_eu-west-1,15-06-2023T12:00,1896.6354406617952
simple_pages_eu-west-1,15-06-2023T18:00,1479.3168384907167
simple_pages_eu-west-1,15-06-2023T24:00,2043.6022638378681
heavy_vercel_ap-southeast-1,16-06-2023T06:00,1929.9334617601435
heavy_vercel_ap-southeast-1,16-06-2023T12:00,1267.5187299628665
heavy_vercel_ap-southeast-1,16-06-2023T18:00,1437.351607520787
heavy_vercel_ap-southeast-1,16-06-2023T24:00,2150.882773087689
heavy_vercel_us-east-1,16-06-2023T06:00,1500.0266148479093
heavy_vercel_us-east-1,16-06-2023T12:00,1587.10519657134
heavy_vercel_us-east-1,16-06-2023T18:00,1359.301244316666
heavy_vercel_us-east-1,16-06-2023T24:00,1408.4251295826953
heavy_vercel_eu-west-1,16-06-2023T06:00,1709.8803859650652
heavy_vercel_eu-west-1,16-06-2023T12:00,1620.275793708869
