x,y,value
heavy_pages_ap-southeast-1,21-06-2023T06:00,1878
heavy_pages_ap-southeast-1,21-06-2023T12:00,3001
heavy_pages_ap-southeast-1,21-06-2023T18:00,2621.999999999999
heavy_pages_ap-southeast-1,22-06-2023T12:00,5060
heavy_pages_ap-southeast-1,22-06-2023T06:00,3462
heavy_pages_ap-southeast-1,22-06-2023T18:00,5410
heavy_pages_eu-west-1,21-06-2023T06:00,5610.000000000001
heavy_pages_eu-west-1,21-06-2023T12:00,6082
heavy_pages_eu-west-1,21-06-2023T18:00,5873
heavy_pages_eu-west-1,22-06-2023T12:00,6429
heavy_pages_eu-west-1,22-06-2023T06:00,8625
heavy_pages_eu-west-1,22-06-2023T18:00,8598
heavy_pages_us-east-1,20-06-2023T18:00,2969
heavy_pages_us-east-1,21-06-2023T06:00,7083
heavy_pages_us-east-1,21-06-2023T12:00,5422
heavy_pages_us-east-1,21-06-2023T18:00,8016.999999999999
heavy_pages_us-east-1,22-06-2023T12:00,6877.999999999999
heavy_pages_us-east-1,22-06-2023T06:00,5588
heavy_pages_us-east-1,22-06-2023T18:00,3788.0000000000146
heavy_vercel_ap-southeast-1,21-06-2023T06:00,5230.999999999999
heavy_vercel_ap-southeast-1,21-06-2023T12:00,6212
heavy_vercel_ap-southeast-1,21-06-2023T18:00,7589
heavy_vercel_ap-southeast-1,22-06-2023T12:00,9287
heavy_vercel_ap-southeast-1,22-06-2023T06:00,7674
heavy_vercel_ap-southeast-1,22-06-2023T18:00,6881.999999999999
heavy_vercel_eu-west-1,21-06-2023T06:00,2794
heavy_vercel_eu-west-1,21-06-2023T12:00,10000
heavy_vercel_eu-west-1,21-06-2023T18:00,10000
heavy_vercel_eu-west-1,22-06-2023T12:00,10000.000000000002
heavy_vercel_eu-west-1,22-06-2023T06:00,6718
heavy_vercel_eu-west-1,22-06-2023T18:00,6859.999999999999
heavy_vercel_us-east-1,20-06-2023T18:00,3517
heavy_vercel_us-east-1,21-06-2023T06:00,10000
heavy_vercel_us-east-1,21-06-2023T12:00,10000
heavy_vercel_us-east-1,21-06-2023T18:00,8341
heavy_vercel_us-east-1,22-06-2023T12:00,9157
heavy_vercel_us-east-1,22-06-2023T06:00,6374
heavy_vercel_us-east-1,22-06-2023T18:00,5375.000000000001
simple_pages_ap-southeast-1,21-06-2023T06:00,67
simple_pages_ap-southeast-1,21-06-2023T12:00,57
simple_pages_ap-southeast-1,21-06-2023T18:00,57
simple_pages_ap-southeast-1,22-06-2023T12:00,56
simple_pages_ap-southeast-1,22-06-2023T06:00,56
simple_pages_ap-southeast-1,22-06-2023T18:00,56
simple_pages_eu-west-1,21-06-2023T06:00,58
simple_pages_eu-west-1,21-06-2023T12:00,70
