SERIES;TIME;VALUE
heavy_pages_ap-southeast-1;21-06-2023T06:00;1627.0520000000001
heavy_pages_ap-southeast-1;21-06-2023T12:00;1840.578
heavy_pages_ap-southeast-1;21-06-2023T18:00;1480.979
heavy_pages_ap-southeast-1;21-06-2023T18:00;1628.1280000000002
heavy_pages_ap-southeast-1;22-06-2023T12:00;1594.5639999999999
heavy_pages_ap-southeast-1;22-06-2023T06:00;1330.961
heavy_pages_ap-southeast-1;22-06-2023T12:00;1412.967
heavy_pages_ap-southeast-1;22-06-2023T18:00;1310.2849999999999
heavy_pages_ap-southeast-1;22-06-2023T18:00;1770.174
heavy_pages_ap-southeast-1;22-06-2023T18:00;1326.6399999999999
heavy_pages_eu-west-1;21-06-2023T06:00;1894.2359999999999
heavy_pages_eu-west-1;21-06-2023T12:00;1324.2759999999998
heavy_pages_eu-west-1;21-06-2023T18:00;1367.299
heavy_pages_eu-west-1;21-06-2023T18:00;1321.0900000000001
heavy_pages_eu-west-1;22-06-2023T12:00;1344.347
heavy_pages_eu-west-1;22-06-2023T06:00;1326.943
heavy_pages_eu-west-1;22-06-2023T12:00;1331.7179999999998
heavy_pages_eu-west-1;22-06-2023T18:00;1339.9270000000001
heavy_pages_eu-west-1;22-06-2023T18:00;1333.653
heavy_pages_eu-west-1;22-06-2023T18:00;1331.096
heavy_pages_us-east-1;20-06-2023T18:00;1403.8899999999999
heavy_pages_us-east-1;20-06-2023T18:00;1425.988
heavy_pages_us-east-1;21-06-2023T06:00;1438.3220000000001
heavy_pages_us-east-1;21-06-2023T12:00;1412.663
heavy_pages_us-east-1;21-06-2023T18:00;1434.051
heavy_pages_us-east-1;21-06-2023T18:00;1443.409
heavy_pages_us-east-1;21-06-2023T18:00;1425.906
heavy_pages_us-east-1;22-06-2023T12:00;1425.282
heavy_pages_us-east-1;22-06-2023T12:00;1315.268
heavy_pages_us-east-1;22-06-2023T06:00;1313.616
heavy_pages_us-east-1;22-06-2023T06:00;1350.621
heavy_pages_us-east-1;22-06-2023T12:00;1324.6280000000002
heavy_pages_us-east-1;22-06-2023T12:00;1325.604
heavy_pages_us-east-1;22-06-2023T18:00;1304.711
heavy_pages_us-east-1;22-06-2023T18:00;1323.641
heavy_pages_us-east-1;22-06-2023T18:00;1338.345
heavy_vercel_ap-southeast-1;21-06-2023T06:00;1978.03
heavy_vercel_ap-southeast-1;21-06-2023T12:00;1713.096
heavy_vercel_ap-southeast-1;21-06-2023T18:00;1426.249
heavy_vercel_ap-southeast-1;21-06-2023T18:00;1928.562
heavy_vercel_ap-southeast-1;22-06-2023T12:00;1432.353
heavy_vercel_ap-southeast-1;22-06-2023T06:00;1426.243
heavy_vercel_ap-southeast-1;22-06-2023T12:00;1451.205
heavy_vercel_ap-southeast-1;22-06-2023T18:00;1796.764
heavy_vercel_ap-southeast-1;22-06-2023T18:00;1741.5990000000002
heavy_vercel_ap-southeast-1;22-06-2023T18:00;1278.94
heavy_vercel_eu-west-1;21-06-2023T06:00;1814.079
heavy_vercel_eu-west-1;21-06-2023T12:00;1452.3
heavy_vercel_eu-west-1;21-06-2023T18:00;1452.277
heavy_vercel_eu-west-1;21-06-2023T18:00;2022.4049999999997
heavy_vercel_eu-west-1;22-06-2023T12:00;2036.7800000000002
heavy_vercel_eu-west-1;22-06-2023T06:00;2027.373
heavy_vercel_eu-west-1;22-06-2023T12:00;1444.277
heavy_vercel_eu-west-1;22-06-2023T18:00;1473.941
heavy_vercel_eu-west-1;22-06-2023T18:00;1456.024
heavy_vercel_eu-west-1;22-06-2023T18:00;1292.9679999999998
heavy_vercel_us-east-1;20-06-2023T18:00;1591.277
heavy_vercel_us-east-1;20-06-2023T18:00;1537.1779999999999
heavy_vercel_us-east-1;21-06-2023T06:00;2184.556
heavy_vercel_us-east-1;21-06-2023T12:00;1447.538
heavy_vercel_us-east-1;21-06-2023T18:00;1444.2820000000002
heavy_vercel_us-east-1;21-06-2023T18:00;1456.3719999999998
heavy_vercel_us-east-1;21-06-2023T18:00;1453.054
heavy_vercel_us-east-1;22-06-2023T12:00;1452.911
heavy_vercel_us-east-1;22-06-2023T12:00;1440.758
heavy_vercel_us-east-1;22-06-2023T06:00;1835.8719999999998
heavy_vercel_us-east-1;22-06-2023T06:00;1431.549
heavy_vercel_us-east-1;22-06-2023T12:00;1461.745
heavy_vercel_us-east-1;22-06-2023T12:00;1386.288
heavy_vercel_us-east-1;22-06-2023T18:00;1281.434
heavy_vercel_us-east-1;22-06-2023T18:00;1368.0610000000001
heavy_vercel_us-east-1;22-06-2023T18:00;1295.763
simple_pages_ap-southeast-1;21-06-2023T06:00;2094.43
simple_pages_ap-southeast-1;21-06-2023T12:00;2150.809
simple_pages_ap-southeast-1;21-06-2023T18:00;1558.621
simple_pages_ap-southeast-1;21-06-2023T18:00;1286.71
simple_pages_ap-southeast-1;22-06-2023T12:00;1277.149
simple_pages_ap-southeast-1;22-06-2023T06:00;1276.499
simple_pages_ap-southeast-1;22-06-2023T12:00;1300.008
simple_pages_ap-southeast-1;22-06-2023T18:00;1288.143
simple_pages_ap-southeast-1;22-06-2023T18:00;1303.318
simple_pages_ap-southeast-1;22-06-2023T18:00;1471.979
simple_pages_eu-west-1;21-06-2023T06:00;1484.237
simple_pages_eu-west-1;21-06-2023T12:00;1313.179
simple_pages_eu-west-1;21-06-2023T18:00;1310.347
simple_pages_eu-west-1;21-06-2023T18:00;1315.4279999999999
simple_pages_eu-west-1;22-06-2023T12:00;1317.155
simple_pages_eu-west-1;22-06-2023T06:00;1302.6779999999999
simple_pages_eu-west-1;22-06-2023T12:00;1331.129
simple_pages_eu-west-1;22-06-2023T18:00;1320.565
simple_pages_eu-west-1;22-06-2023T18:00;1303.4740000000002
simple_pages_eu-west-1;22-06-2023T18:00;1300.492
simple_pages_us-east-1;20-06-2023T18:00;1400.512
simple_pages_us-east-1;21-06-2023T06:00;1469.117
simple_pages_us-east-1;21-06-2023T12:00;1303.336
simple_pages_us-east-1;21-06-2023T18:00;1426.286
simple_pages_us-east-1;21-06-2023T18:00;1281.444
simple_pages_us-east-1;21-06-2023T18:00;1305.871
simple_pages_us-east-1;22-06-2023T12:00;1387.719
simple_pages_us-east-1;22-06-2023T12:00;1306.1480000000001
simple_pages_us-east-1;22-06-2023T06:00;1296.743
simple_pages_us-east-1;22-06-2023T06:00;1302.496
simple_pages_us-east-1;22-06-2023T12:00;1317.399
simple_pages_us-east-1;22-06-2023T12:00;1291.841
simple_pages_us-east-1;22-06-2023T18:00;1322.179
simple_pages_us-east-1;22-06-2023T18:00;1296.545
simple_pages_us-east-1;22-06-2023T18:00;1301.384
simple_vercel_ap-southeast-1;21-06-2023T06:00;1788.609
simple_vercel_ap-southeast-1;21-06-2023T12:00;1261.874
simple_vercel_ap-southeast-1;21-06-2023T18:00;1253.7820000000002
simple_vercel_ap-southeast-1;21-06-2023T18:00;1281.79
simple_vercel_ap-southeast-1;22-06-2023T12:00;1259.435
simple_vercel_ap-southeast-1;22-06-2023T06:00;1261.52
simple_vercel_ap-southeast-1;22-06-2023T12:00;1278.845
simple_vercel_ap-southeast-1;22-06-2023T18:00;1753.342
simple_vercel_ap-southeast-1;22-06-2023T18:00;1757.708
simple_vercel_ap-southeast-1;22-06-2023T18:00;1261.859
simple_vercel_eu-west-1;21-06-2023T06:00;1449.98
simple_vercel_eu-west-1;21-06-2023T12:00;1272.682
simple_vercel_eu-west-1;21-06-2023T18:00;1285.97
simple_vercel_eu-west-1;21-06-2023T18:00;1272.261
simple_vercel_eu-west-1;22-06-2023T12:00;1289.875
simple_vercel_eu-west-1;22-06-2023T06:00;1276.463
simple_vercel_eu-west-1;22-06-2023T12:00;1285.732
simple_vercel_eu-west-1;22-06-2023T18:00;1491.315
simple_vercel_eu-west-1;22-06-2023T18:00;1435.946
simple_vercel_eu-west-1;22-06-2023T18:00;1506.6
simple_vercel_us-east-1;20-06-2023T18:00;1399.7060000000001
simple_vercel_us-east-1;20-06-2023T18:00;1342.217
simple_vercel_us-east-1;21-06-2023T06:00;1507.3339999999998
simple_vercel_us-east-1;21-06-2023T12:00;1292.2179999999998
simple_vercel_us-east-1;21-06-2023T18:00;1293.577
simple_vercel_us-east-1;21-06-2023T18:00;1278.2939999999999
simple_vercel_us-east-1;21-06-2023T18:00;1282.913
simple_vercel_us-east-1;22-06-2023T12:00;1277.257
simple_vercel_us-east-1;22-06-2023T12:00;1288.729
simple_vercel_us-east-1;22-06-2023T06:00;1280.067
simple_vercel_us-east-1;22-06-2023T06:00;1286.862
simple_vercel_us-east-1;22-06-2023T12:00;1314.3429999999998
simple_vercel_us-east-1;22-06-2023T12:00;1332.6779999999999
