SERIES;TIME;VALUE
heavy_pages_ap-southeast-1;21-06-2023T06:00;71217.052
heavy_pages_ap-southeast-1;21-06-2023T12:00;72697.07800000001
heavy_pages_ap-southeast-1;21-06-2023T18:00;69302.97899999999
heavy_pages_ap-southeast-1;21-06-2023T18:00;69728.628
heavy_pages_ap-southeast-1;22-06-2023T12:00;68964.564
heavy_pages_ap-southeast-1;22-06-2023T06:00;72238.96100000001
heavy_pages_ap-southeast-1;22-06-2023T12:00;73046.967
heavy_pages_ap-southeast-1;22-06-2023T18:00;75309.785
heavy_pages_ap-southeast-1;22-06-2023T18:00;69816.174
heavy_pages_ap-southeast-1;22-06-2023T18:00;71770.14
heavy_pages_ap-southeast-1;22-06-2023T18:00;76457.844
heavy_pages_ap-southeast-1;22-06-2023T24:00;74531.459
heavy_pages_eu-west-1;21-06-2023T06:00;74086.236
heavy_pages_eu-west-1;21-06-2023T12:00;74332.77600000001
heavy_pages_eu-west-1;21-06-2023T18:00;75857.799
heavy_pages_eu-west-1;21-06-2023T18:00;79835.59
heavy_pages_eu-west-1;22-06-2023T12:00;76268.34700000001
heavy_pages_eu-west-1;22-06-2023T06:00;82750.943
heavy_pages_eu-west-1;22-06-2023T12:00;74510.218
heavy_pages_eu-west-1;22-06-2023T18:00;81705.427
heavy_pages_eu-west-1;22-06-2023T18:00;74961.15299999999
heavy_pages_eu-west-1;22-06-2023T18:00;71794.09599999999
heavy_pages_eu-west-1;22-06-2023T18:00;77272.532
heavy_pages_eu-west-1;22-06-2023T24:00;77571.27600000001
heavy_pages_us-east-1;20-06-2023T18:00;73959.89000000001
heavy_pages_us-east-1;20-06-2023T18:00;75343.48800000001
heavy_pages_us-east-1;21-06-2023T06:00;82682.82199999999
heavy_pages_us-east-1;21-06-2023T12:00;74206.663
heavy_pages_us-east-1;21-06-2023T18:00;77243.551
heavy_pages_us-east-1;21-06-2023T18:00;70314.409
heavy_pages_us-east-1;21-06-2023T18:00;71732.406
heavy_pages_us-east-1;22-06-2023T12:00;75904.782
heavy_pages_us-east-1;22-06-2023T12:00;75871.268
heavy_pages_us-east-1;22-06-2023T06:00;69782.61600000001
heavy_pages_us-east-1;22-06-2023T06:00;73101.12099999998
heavy_pages_us-east-1;22-06-2023T12:00;87130.128
heavy_pages_us-east-1;22-06-2023T12:00;76644.10399999999
heavy_pages_us-east-1;22-06-2023T18:00;74421.21100000001
heavy_pages_us-east-1;22-06-2023T18:00;77014.141
heavy_pages_us-east-1;22-06-2023T18:00;80945.345
heavy_pages_us-east-1;22-06-2023T18:00;73400.068
heavy_pages_us-east-1;22-06-2023T18:00;84292.50400000002
heavy_pages_us-east-1;22-06-2023T24:00;78381.63699999999
heavy_vercel_ap-southeast-1;21-06-2023T06:00;71429.53
