SERIES;TIME;VALUE
heavy_pages_ap-southeast-1;21-06-2023T06:00;1878
heavy_pages_ap-southeast-1;21-06-2023T12:00;3001
heavy_pages_ap-southeast-1;21-06-2023T18:00;2621.999999999999
heavy_pages_ap-southeast-1;21-06-2023T18:00;4241
heavy_pages_ap-southeast-1;22-06-2023T12:00;5060
heavy_pages_ap-southeast-1;22-06-2023T06:00;3462
heavy_pages_ap-southeast-1;22-06-2023T12:00;5651
heavy_pages_ap-southeast-1;22-06-2023T18:00;5410
heavy_pages_ap-southeast-1;22-06-2023T18:00;2925.999999999999
heavy_pages_ap-southeast-1;22-06-2023T18:00;7371.999999999999
heavy_pages_eu-west-1;21-06-2023T06:00;5610.000000000001
heavy_pages_eu-west-1;21-06-2023T12:00;6082
heavy_pages_eu-west-1;21-06-2023T18:00;5873
heavy_pages_eu-west-1;21-06-2023T18:00;10000
heavy_pages_eu-west-1;22-06-2023T12:00;6429
heavy_pages_eu-west-1;22-06-2023T06:00;8625
heavy_pages_eu-west-1;22-06-2023T12:00;4231
heavy_pages_eu-west-1;22-06-2023T18:00;8598
heavy_pages_eu-west-1;22-06-2023T18:00;4028
heavy_pages_eu-west-1;22-06-2023T18:00;3557.9999999999995
heavy_pages_us-east-1;20-06-2023T18:00;2969
heavy_pages_us-east-1;20-06-2023T18:00;5581
heavy_pages_us-east-1;21-06-2023T06:00;7083
heavy_pages_us-east-1;21-06-2023T12:00;5422
heavy_pages_us-east-1;21-06-2023T18:00;8016.999999999999
heavy_pages_us-east-1;21-06-2023T18:00;2466
heavy_pages_us-east-1;21-06-2023T18:00;3899.0000000000146
heavy_pages_us-east-1;22-06-2023T12:00;6877.999999999999
heavy_pages_us-east-1;22-06-2023T12:00;4166.999999999985
heavy_pages_us-east-1;22-06-2023T06:00;5588
heavy_pages_us-east-1;22-06-2023T06:00;8510
heavy_pages_us-east-1;22-06-2023T12:00;10000
heavy_pages_us-east-1;22-06-2023T12:00;7865.999999999999
heavy_pages_us-east-1;22-06-2023T18:00;3788.0000000000146
heavy_pages_us-east-1;22-06-2023T18:00;8049
heavy_pages_us-east-1;22-06-2023T18:00;10000.000000000002
heavy_vercel_ap-southeast-1;21-06-2023T06:00;5230.999999999999
heavy_vercel_ap-southeast-1;21-06-2023T12:00;6212
heavy_vercel_ap-southeast-1;21-06-2023T18:00;7589
heavy_vercel_ap-southeast-1;21-06-2023T18:00;6622
heavy_vercel_ap-southeast-1;22-06-2023T12:00;9287
heavy_vercel_ap-southeast-1;22-06-2023T06:00;7674
heavy_vercel_ap-southeast-1;22-06-2023T12:00;6376
heavy_vercel_ap-southeast-1;22-06-2023T18:00;6881.999999999999
heavy_vercel_ap-southeast-1;22-06-2023T18:00;3204
