SERIES;TIME;VALUE
heavy_pages_ap-southeast-1;21-06-2023T06:00;0.23
heavy_pages_ap-southeast-1;21-06-2023T12:00;0.27
heavy_pages_ap-southeast-1;21-06-2023T18:00;0.28
heavy_pages_ap-southeast-1;21-06-2023T18:00;0.27
heavy_pages_ap-southeast-1;22-06-2023T12:00;0.28
heavy_pages_ap-southeast-1;22-06-2023T06:00;0.31
heavy_pages_ap-southeast-1;22-06-2023T12:00;0.32
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.17
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.28
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.32
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.3
heavy_pages_ap-southeast-1;22-06-2023T24:00;0.17
heavy_pages_eu-west-1;21-06-2023T06:00;0.16
heavy_pages_eu-west-1;21-06-2023T12:00;0.17
heavy_pages_eu-west-1;21-06-2023T18:00;0.17
heavy_pages_eu-west-1;21-06-2023T18:00;0.32
heavy_pages_eu-west-1;22-06-2023T12:00;0.32
heavy_pages_eu-west-1;22-06-2023T06:00;0.32
heavy_pages_eu-west-1;22-06-2023T12:00;0.17
heavy_pages_eu-west-1;22-06-2023T18:00;0.32
heavy_pages_eu-west-1;22-06-2023T18:00;0.17
heavy_pages_eu-west-1;22-06-2023T18:00;0.17
heavy_pages_eu-west-1;22-06-2023T18:00;0.17
heavy_pages_eu-west-1;22-06-2023T24:00;0.32
heavy_pages_us-east-1;20-06-2023T18:00;0.17
heavy_pages_us-east-1;20-06-2023T18:00;0.18
heavy_pages_us-east-1;21-06-2023T06:00;0.17
heavy_pages_us-east-1;21-06-2023T12:00;0.16
heavy_pages_us-east-1;21-06-2023T18:00;0.16
heavy_pages_us-east-1;21-06-2023T18:00;0.17
heavy_pages_us-east-1;21-06-2023T18:00;0.3
heavy_pages_us-east-1;22-06-2023T12:00;0.17
heavy_pages_us-east-1;22-06-2023T12:00;0.17
heavy_pages_us-east-1;22-06-2023T06:00;0.41
heavy_pages_us-east-1;22-06-2023T06:00;0.32
heavy_pages_us-east-1;22-06-2023T12:00;0.17
heavy_pages_us-east-1;22-06-2023T12:00;0.31
heavy_pages_us-east-1;22-06-2023T18:00;0.32
heavy_pages_us-east-1;22-06-2023T18:00;0.17
heavy_pages_us-east-1;22-06-2023T18:00;0.17
heavy_pages_us-east-1;22-06-2023T18:00;0.32
heavy_pages_us-east-1;22-06-2023T18:00;0.39
heavy_pages_us-east-1;22-06-2023T24:00;0.32
heavy_vercel_ap-southeast-1;21-06-2023T06:00;0.16
heavy_vercel_ap-southeast-1;21-06-2023T12:00;0.34
heavy_vercel_ap-southeast-1;21-06-2023T18:00;0.32
heavy_vercel_ap-southeast-1;21-06-2023T18:00;0.31
heavy_vercel_ap-southeast-1;22-06-2023T12:00;0.17
heavy_vercel_ap-southeast-1;22-06-2023T06:00;0.17
heavy_vercel_ap-southeast-1;22-06-2023T12:00;0.19
